reason,urgency
fever,MEDIUM
loss of consciousness with rapid worsening,HIGH
minor cold symptoms next available slot,LOW
fever for two days,MEDIUM
loss of consciousness with sweating,HIGH
joint pain with mild weakness,MEDIUM
minor cold symptoms for preventive care,LOW
very high blood pressure symptoms with dizziness,HIGH
routine checkup for regular monitoring,LOW
ear infection symptoms after recent travel,MEDIUM
uncontrolled bleeding since this morning,HIGH
severe breathing difficulty with dizziness,HIGH
general health advice as advised by physician,LOW
vaccination consultation no severe symptoms,LOW
severe allergic reaction since this morning,HIGH
migraine after recent travel,MEDIUM
vomiting for two days,MEDIUM
moderate dehydration for two days,MEDIUM
consultation for preventive care,LOW
uncontrolled bleeding with rapid worsening,HIGH
persistent cough,MEDIUM
severe breathing difficulty with sweating,HIGH
joint pain,MEDIUM
intense abdominal pain after physical exertion,HIGH
sudden vision loss with rapid worsening,HIGH
fever with mild weakness,MEDIUM
annual wellness exam for preventive care,LOW
loss of consciousness with sweating,HIGH
annual wellness exam for regular monitoring,LOW
skin rash,MEDIUM
moderate dehydration with mild weakness,MEDIUM
sudden vision loss with sweating,HIGH
very high blood pressure symptoms after physical exertion,HIGH
blood test review as advised by physician,LOW
heart attack symptoms with sweating,HIGH
fever for two days,MEDIUM
heart attack symptoms,HIGH
vomiting mostly in the evening,MEDIUM
sore throat with appetite loss,MEDIUM
sudden vision loss since this morning,HIGH
vomiting,MEDIUM
diet counseling,LOW
moderate dehydration mostly in the evening,MEDIUM
chest pain,HIGH
diet counseling no severe symptoms,LOW
minor cold symptoms next available slot,LOW
diet counseling,LOW
persistent cough with mild weakness,MEDIUM
headache with appetite loss,MEDIUM
minor cold symptoms next available slot,LOW
sore throat for two days,MEDIUM
uncontrolled bleeding with dizziness,HIGH
loss of consciousness with sweating,HIGH
consultation,LOW
vomiting with appetite loss,MEDIUM
follow-up visit,LOW
joint pain with mild weakness,MEDIUM
very high blood pressure symptoms after physical exertion,HIGH
minor cold symptoms,LOW
moderate dehydration mostly in the evening,MEDIUM
annual wellness exam for preventive care,LOW
vaccination consultation next available slot,LOW
severe breathing difficulty with dizziness,HIGH
sudden vision loss with rapid worsening,HIGH
fever for two days,MEDIUM
routine checkup for regular monitoring,LOW
chest pain with dizziness,HIGH
loss of consciousness with dizziness,HIGH
persistent cough with appetite loss,MEDIUM
very high blood pressure symptoms with sweating,HIGH
sore throat mostly in the evening,MEDIUM
severe breathing difficulty,HIGH
skin rash mostly in the evening,MEDIUM
fever,MEDIUM
vomiting for two days,MEDIUM
ear infection symptoms for two days,MEDIUM
loss of consciousness with sweating,HIGH
skin rash with mild weakness,MEDIUM
loss of consciousness since this morning,HIGH
joint pain for two days,MEDIUM
sudden vision loss since this morning,HIGH
medication refill for regular monitoring,LOW
sore throat with mild weakness,MEDIUM
routine checkup for regular monitoring,LOW
skin rash after recent travel,MEDIUM
vaccination consultation as advised by physician,LOW
joint pain,MEDIUM
follow-up visit for regular monitoring,LOW
chest pain with sweating,HIGH
routine checkup,LOW
fever with appetite loss,MEDIUM
joint pain with mild weakness,MEDIUM
sudden vision loss since this morning,HIGH
consultation no severe symptoms,LOW
loss of consciousness after physical exertion,HIGH
very high blood pressure symptoms with rapid worsening,HIGH
fever with appetite loss,MEDIUM
very high blood pressure symptoms with sweating,HIGH
moderate dehydration with mild weakness,MEDIUM
ear infection symptoms with mild weakness,MEDIUM
heart attack symptoms,HIGH
sore throat after recent travel,MEDIUM
consultation next available slot,LOW
migraine for two days,MEDIUM
loss of consciousness with sweating,HIGH
uncontrolled bleeding since this morning,HIGH
annual wellness exam as advised by physician,LOW
sudden vision loss,HIGH
joint pain for two days,MEDIUM
joint pain after recent travel,MEDIUM
consultation for regular monitoring,LOW
severe breathing difficulty,HIGH
moderate dehydration after recent travel,MEDIUM
ear infection symptoms with mild weakness,MEDIUM
moderate dehydration with appetite loss,MEDIUM
fever for two days,MEDIUM
moderate dehydration for two days,MEDIUM
heart attack symptoms,HIGH
follow-up visit,LOW
skin rash with appetite loss,MEDIUM
severe breathing difficulty,HIGH
minor cold symptoms next available slot,LOW
general health advice no severe symptoms,LOW
heart attack symptoms since this morning,HIGH
fever after recent travel,MEDIUM
loss of consciousness,HIGH
sudden vision loss after physical exertion,HIGH
follow-up visit for regular monitoring,LOW
follow-up visit for preventive care,LOW
uncontrolled bleeding after physical exertion,HIGH
medication refill as advised by physician,LOW
severe breathing difficulty after physical exertion,HIGH
vaccination consultation for regular monitoring,LOW
intense abdominal pain with dizziness,HIGH
persistent cough with mild weakness,MEDIUM
loss of consciousness after physical exertion,HIGH
vomiting after recent travel,MEDIUM
joint pain mostly in the evening,MEDIUM
joint pain after recent travel,MEDIUM
consultation as advised by physician,LOW
stroke warning signs since this morning,HIGH
severe allergic reaction with dizziness,HIGH
annual wellness exam for preventive care,LOW
joint pain for two days,MEDIUM
migraine with mild weakness,MEDIUM
severe allergic reaction since this morning,HIGH
joint pain,MEDIUM
medication refill as advised by physician,LOW
ear infection symptoms with appetite loss,MEDIUM
vomiting,MEDIUM
